"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q1","Q7","Q8","Q82","Q80","Q81","SB_choice","Q77_1","Q77_2","Q77_3","Q77_4","NH_choice","Q76_1","Q76_2","Q76_3","Q76_4","Q53_1","Q72_1","Q72_2","Q72_3","Q72_4","Q52_1","Q73_1","Q73_2","Q73_3","Q73_4","Q31_1","Q74_1","Q74_2","Q74_3","Q74_4","Q48_1","Q75_1","Q75_2","Q75_3","Q75_4","sb_ad_den","Q66_1","Q66_2","Q66_3","Q66_4","sb_ad_car","Q67_1","Q67_2","Q67_3","Q67_4","sb_op_den","Q64_1","Q64_2","Q64_3","Q64_4","sb_op_car","Q65_1","Q65_2","Q65_3","Q65_4","nh_ad_win","Q59_1","Q59_2","Q59_3","Q59_4","nh_ad_lose","Q60_1","Q60_2","Q60_3","Q60_4","nh_op_win","Q61_1","Q61_2","Q61_3","Q61_4","nh_op_lose","Q62_1","Q62_2","Q62_3","Q62_4","control","Q63_1","Q63_2","Q63_3","Q63_4","Q54_1","Q71_1","Q71_2","Q71_3","Q71_4","Q55_1","Q70_1","Q70_2","Q70_3","Q70_4","Q57_1","Q69_1","Q69_2","Q69_3","Q69_4","Q56_1","Q68_1","Q68_2","Q68_3","Q68_4","Q36","Q11","Q37","Q78","Q79_1","Q23_1","Q35_1","Q26_1","Q27_1","Q45_1","Q58","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q38","DO-BR-FL_112","DO-BR-FL_69","DO-BR-FL_107","DO-BR-FL_88","DO-BR-FL_110","DO-BL-Importance","DO-Q-SB_choice","DO-Q-NH_choice","LocationLatitude","LocationLongitude","LocationAccuracy"
"R_3KoLy2lGYtj0UJT","Default Response Set","Anonymous",,,"75.27.6.179",0,2/5/2016 9:40,2/5/2016 9:43,1,1,1,"Yesterday I woke up and made a pot of coffee. I then read daily news on the internet. I had pizza for lunch and took a short walk outside. In the evening I made steak for dinner and watched television. I played some video games and went to bed later in the evening.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8441925049,-85.9739990234,-1
"R_1oCkMMAZoZ3Y2Lc","Default Response Set","Anonymous",,,"173.171.217.28",0,2/5/2016 9:39,2/5/2016 9:43,1,1,1,"Yesterday I went to work, I went to class and came home and did a little homework while getting dinner into the crock pot for the night. I went to Sam's club to get a few things, to the grocery store, and then to Michael's to pick up a few crafting items. Then logged on to World of warcraft where I got sat for a raid for half the night, so then I managed to make a little bit of extra money on mturk instead of just sit around doing nothing. ",1,1,42,2,1.101,1.101,1.966,1,1,1.203,1.203,2.239,1,,,,,,92,1.439,1.439,1.943,1,78,1.22,1.508,2.55,2,,,,,,"I think that the Denver broncos might beat the Carolina Panthers because they are a better team than the Carolina team . I think that they have more talent and higher skilled more famous players than the Carolina team. ",0.786,2.1,37.117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0.635,1.005,1.61,2,74,1.104,1.512,2.228,2,,,,,,1,1,145,1,35,1,7,5,7,7,1,"Biden ","Ryan ","No clue ","ryan ","Payton ","manning ","South Florida Bulls ","TAMPA bay buccaneers ",,"NHchoice|SBchoice","FL_70|FL_79","SB_advocate","FL_94|FL_89","Factual Quiz - Politics|Factual Quiz - Football","Q45|Q27","1|2","1|2",27.8562927246,-82.6317977905,-1
"R_2P84GxVYj5bbPZV","Default Response Set","Anonymous",,,"68.190.248.238",0,2/5/2016 9:40,2/5/2016 9:43,1,1,1,"Yesterday, I worked all day. I also did some reading and ate a large, delicious dinner.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8114929199,-118.1867980957,-1
"R_ulvMNF08WAHYMQF","Default Response Set","Anonymous",,,"38.125.36.194",0,2/5/2016 9:40,2/5/2016 9:43,1,1,1,"Yesterday I woke up at 6:30 AM and ate breakfast. In the afternoon I was working at my office, working on spreadsheets. In the evening I got home and ate dinner.",1,1,42,2,2.188,2.188,2.963,1,2,4.957,4.957,6.549,1,,,,,,54,2.176,2.176,2.862,1,,,,,,71,2.431,7.668,8.72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The last time I went to the grocery store, I bought ingredients for grilled cheese. I bought some white bread, American cheese slices, and some butter.",1.228,1.228,38.459,1,,,,,,61,0.998,1.639,2.269,2,,,,,,70,5.674,5.674,6.496,1,1,1,160,1,41,2,4,3,1,1,1,"Joe Biden","I don't know.","I don't know.","I don't know.","I don't know.","I don't know.","I don't know.","I don't know.","I have no additional comments.","NHchoice|SBchoice","FL_79|FL_70","CONTROL","FL_94|FL_89","Factual Quiz - Football|Factual Quiz - Politics","Q27|Q45","2|1","2|1",40.6450958252,-73.9449996948,-1
"R_O2Qn3Uiu7FlrCrn","Default Response Set","Anonymous",,,"174.154.248.192",0,2/5/2016 9:42,2/5/2016 9:43,1,1,1,"Yesterday morning I got up made breakfast and settled down to do some work on the computer. My afternoon consisted of running a few errands and more work on the computer. In the evening I hung out with my boyfriend watching movies and turned into bed early.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-97,-1
"R_31HSeBj3Hi8gvgo","Default Response Set","Anonymous",,,"184.100.231.104",0,2/5/2016 9:41,2/5/2016 9:43,1,1,1,"This morning I made lunch for my kids. In the afternoon I plan to going for a walk. As for the the evening, there is not plan as of yer",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5478973389,-122.5014953613,-1
"R_vSIMLfFlbsiDnyh","Default Response Set","Anonymous",,,"75.170.245.234",0,2/5/2016 9:40,2/5/2016 9:43,1,1,1,"i got my kids ready for school in the morning. Then i ate lunch and then worked the rest of the day. At night, I made dinnre and helped my kids with their homework and then we watched a movie.",1,1,42,2,2.02,2.02,2.779,1,2,0.914,0.914,2.252,1,,,,,,66,0.492,1.868,2.766,5,,,,,,58,0.989,2.172,3.085,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I ran into the store to grab a few things quickly. I had a list organized by aisle. i threw the items in my cart and checked out quickly.",0.612,0.612,19.679,1,,,,,,73,0.957,1.64,2.435,2,,,,,,62,0.779,1.897,3.311,3,1,1,190,1,73,2,3,1,4,4,1,"biden","paul ryan","romney","romney","cam newton","peyton manning","seahawks","cardinals",,"NHchoice|SBchoice","FL_79|FL_70","CONTROL","FL_94|FL_89","Factual Quiz - Football|Factual Quiz - Politics","Q27|Q45","2|1","2|1",41.5635070801,-93.7842025757,-1
"R_1kS6elQ5tTFo6WB","Default Response Set","Anonymous",,,"72.159.154.97",0,2/5/2016 9:42,2/5/2016 9:43,1,1,1,"I got ready for work, took the kids to school and worked a full work day. I helped the kids with homework in the afternoon. I cooked supper yesterday evening and talked with my husband and children as we ate.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0975036621,-80.1753005981,-1
"R_cYLA9fJfR0CMo1j","Default Response Set","Anonymous",,,"68.227.245.210",0,2/5/2016 9:40,2/5/2016 9:44,1,1,1,"I ate in the morning. I did mTurk in the afternoon. I worked on a mock draft in the evening.",1,1,42,1,1.237,1.237,2.08,1,1,1.519,1.519,4.579,1,67,2.15,2.15,4.149,1,,,,,,97,2.137,2.137,2.996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The competition from Cruz and Rubio could gain momentum into the primary date.",2.247,2.247,38.562,1,,,,,,,,,,,66,1.69,1.69,2.513,1,,,,,,98,2.709,2.709,3.566,1,,,,,,1,1,160,1,30,5,7,3,4,5,1,"Joe Biden","Paul Ryan","Mitt Romney","Mitt Romney","Cam Newton","Peyton Manning","New England Patriots","Arizona Cardinals","n","NHchoice|SBchoice","FL_70|FL_79","NH_opposite","FL_94|FL_89","Factual Quiz - Politics|Factual Quiz - Football","Q45|Q27","1|2","1|2",33.5090942383,-112.0823974609,-1
"R_39iMCJLYkLiG9dn","Default Response Set","Anonymous",,,"50.207.103.1",0,2/5/2016 9:42,2/5/2016 9:44,1,1,1,"Yesterday morning, I got up, cooked breakfast, and went to the gym.  During the rest of the morning and afternoon, I worked at my job.  That evening, I ate supper, and watched TV.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0964050293,-83.5739974976,-1
"R_1C3mNVt6gHzXs2c","Default Response Set","Anonymous",,,"177.244.11.103",0,2/5/2016 9:42,2/5/2016 9:44,1,1,1,"Please take a moment to give a short description of what you did yesterday. Be sure to include at least one activity from the morning, afternoon, and evening.",1,1,42,1,1.429,1.429,2.258,1,1,1.455,1.455,5.164,1,87,0.819,3.578,4.048,6,,,,,,55,1.354,1.354,2.052,1,,,,,,,,,,,,,,,,,,,,," /  / On a previous question you indicated that the Carolina Panthers were likely to win the Super Bowl. Here, we want to know why you might be wrong about your prediction.  /  / That is, why might the Denver Broncos beat the Carolina Panthers? And what are the best arguments that would lead someone to make this prediction? Please write out those arguments below in the most persuasive way you can. /  / Your goal is to convince someone else that Denver is more likely to win than Carolina. /   /  ",2.016,3.511,4.581,2,,,,,,,,,,,,,,,,,,,,,,,,,,51,0.569,0.569,1.42,1,,,,,,79,0.874,1.825,2.253,3,,,,,,1,1,150,1,60,6,3,2,5,4,1,"joe biden","hillary clinton","not sure","not sure","not sure","not sure","not sure","not sure",,"NHchoice|SBchoice","FL_70|FL_79","SB_opposite","FL_94|FL_89","Factual Quiz - Politics|Factual Quiz - Football","Q45|Q27","1|2","1|2",19.287902832,-99.6531982422,-1
"R_uvTvyYyRdIuDot3","Default Response Set","Anonymous",,,"68.99.135.59",0,2/5/2016 9:39,2/5/2016 9:44,1,1,1,"I woke up and got the kids ready for school, I worked out and took a shower.  I got my other kids ready for preschool.  We also went to the library.  I made dinner when everyone was home, and I watched a movie with my husband then went to bed.",1,1,42,2,5.995,5.995,7.855,1,2,6.876,6.876,9.827,1,,,,,,76,2.223,2.604,3.392,2,,,,,,51,3.796,3.796,6.141,1,,,,,,,,,,,"Carolina wants to win the Super Bowl.  They are going to go all out, and give it everything they have.  They are on a hot winning streak, and they just might take it all the way.",10.622,10.622,46.155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3.796,4.27,4.911,2,,,,,,55,3.839,4.883,6.397,2,1,1,175,1,50,4,1,4,2,1,1,"joe biden","john boener","mitt romney","mitt romney","tom cruise","payton manning","chargers","cardinals","none","SBchoice|NHchoice","FL_79|FL_70","SB_opposite","FL_94|FL_89","Factual Quiz - Politics|Factual Quiz - Football","Q27|Q45","1|2","2|1",33.346206665,-111.8152999878,-1
"R_ac9mXnBHrIy0jh7","Default Response Set","Anonymous",,,"73.199.237.169",0,2/5/2016 9:40,2/5/2016 9:44,1,1,1,"I cleaned the dishes in the morning after waking up. Then I worked throughout the afternoon and then took a shower. Then in the evening I cared for my rats and fed my baby dog.",1,1,42,1,2.199,2.199,3.173,1,2,1.816,1.816,3.616,1,93,3.13,3.13,4.252,1,,,,,,,,,,,100,1.395,3.382,4.401,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald Trump is likely to win the primary because he has many people ""on his side"". Donald Trump is captivating to many and many people believe that he is the ticket to having a ""better"" America.",12.103,57.194,57.655,4,,,,,,100,1.808,1.808,3.366,1,,,,,,,,,,,100,1.8,1.8,2.459,1,1,1,155,1,84,4,4,3,1,1,1,"Joe Biden","Nancy Pelosi","I have no clue.","I have no clue.","I have no clue.","I have no clue.","I do not know.","I do not know.","thank you so much!","SBchoice|NHchoice","FL_70|FL_79","NH_opposite","FL_89|FL_94","Factual Quiz - Politics|Factual Quiz - Football","Q27|Q45","2|1","1|2",39.3869934082,-74.6216964722,-1
"R_3Eyz8X14e59nEkI","Default Response Set","Anonymous",,,"107.185.123.80",0,2/5/2016 9:40,2/5/2016 9:45,1,1,1,"I worked out and ran on my treadmill at home",1,1,42,1,2.288,2.288,3.44,1,1,0.838,0.838,8.254,1,88,2.042,2.84,3.312,2,,,,,,79,2.28,2.28,3.414,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald trump has goal and is very aggressive and is going to be a tough president who will get things done in the white house. He knows what he is doing.",2.941,37.301,59.286,4,,,,,,,,,,,,,,,,,,,,,81,1.3,1.3,3.403,1,,,,,,83,2.271,3.581,4.412,2,,,,,,1,1,150,1,63,4,6,1,1,1,1,"joe biden","david","john mccain ","obama","peyton manny","david beckham ","cardinals","seattle","great survey","SBchoice|NHchoice","FL_79|FL_70","NH_advocate","FL_94|FL_89","Factual Quiz - Football|Factual Quiz - Politics","Q45|Q27","1|2","1|2",33.9761047363,-118.153503418,-1
"R_31h26VcTwviN4hL","Default Response Set","Anonymous",,,"68.48.128.139",0,2/5/2016 9:42,2/5/2016 9:45,1,1,1,"I woke up, went to work, ate lunch, did more work, went home, ate dinner, watched TV and went to bed",1,1,42,1,1.477,2.231,2.753,2,2,2.001,2.001,3.376,1,50,2.15,2.15,2.849,1,,,,,,,,,,,62,1.281,3.47,4.085,4,,,,,,,,,,,,,,,,,,,,,,,,,,"He has alienated many voters",1.057,1.057,23.905,1,,,,,,,,,,,,,,,,,1.7,3.08,3.803,3,,,,,,,,,,,60,1.46,2.557,3.406,2,1,1,180,1,25,4,2,1,4,1,1,"Joe Biden","Paul Ryan","McCain","Romney","Cam Newton","Peyton Manning","I don't know","I don't know",,"NHchoice|SBchoice","FL_70|FL_79","NH_advocate","FL_89|FL_94","Factual Quiz - Football|Factual Quiz - Politics","Q27|Q45","2|1","2|1",42.9425048828,-85.6160964966,-1
"R_30tKXuP6r8mlGVI","Default Response Set","Anonymous",,,"76.112.75.130",0,2/5/2016 9:40,2/5/2016 9:45,1,1,1,"I woke up, had breakfast and took my usual shower. I hopped on my computer and worked steadily through the day from 9-5. After 5 I relaxed and watched netflix and browsed the internet on my tablet. I ate dinner around 8 pm and went to bed around 10. ",1,1,42,1,7.733,7.911,8.641,2,1,6.333,6.333,8.628,1,82,5.408,6.51,7.852,3,,,,,,65,2.116,2.509,4.728,2,,,,,,,,,,,"I think Cam Newton is a great quarterback and gives them a tremendous edge. Carolina has beat some great teams and performed extremely well in their last playoff game. The Broncos are good and have veteran Peyton Manning but their defense will not be good enough to beat the Panthers.",0.983,0.983,48.425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,7.512,8.397,9.122,3,,,,,,64,3.608,6.793,7.005,3,,,,,,1,1,185,1,84,6,2,3,1,1,1,"joe biden","paul ryan","mitt romney","mitt romney","cam newton","peyton manning","the new england patriots","arizona cardinals","thanks!","NHchoice|SBchoice","FL_70|FL_79","SB_advocate","FL_94|FL_89","Factual Quiz - Football|Factual Quiz - Politics","Q45|Q27","1|2","2|1",42.3838043213,-82.923500061,-1
